	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ower	Noun	tr	person who owes money	fin	velallinen
eng	own	Verb	tr	have rightful possession of	got	𐌰𐌹𐌲𐌰𐌽
eng	own	Verb	tr	have rightful possession of	grc	κέκτημαι
eng	own	Verb	tr	have rightful possession of	hbs	imati	impf
eng	own	Verb	tr	have rightful possession of	hbs	posedovati	impf
eng	own	Verb	tr	have rightful possession of	hbs	vlastiti	impf
eng	own	Verb	tr	have rightful possession of	hbs	властити	impf
eng	own	Verb	tr	have rightful possession of	hbs	имати	impf
eng	own	Verb	tr	have rightful possession of	hbs	поседовати	impf
eng	own	Verb	tr	have rightful possession of	heb	היה ל־	tr=hayá l'-
eng	own	Verb	tr	have rightful possession of	heb	יש ל־	tr=yésh l'-
eng	own	Verb	tr	have rightful possession of	heb	שייך ל־	tr=shayákh l'-
eng	own	Verb	tr	have rightful possession of	hun	bír
eng	own	Verb	tr	have rightful possession of	hun	birtokol
eng	own	Verb	tr	have rightful possession of	hye	ունենալ	sc=Armn
eng	own	Verb	tr	have rightful possession of	isl	eiga
eng	own	Verb	tr	have rightful possession of	ita	possedere
eng	own	Verb	tr	have rightful possession of	jpn	所有	tr=しょゆうする, shoyū suru	alt=所有する
eng	own	Verb	tr	have rightful possession of	kat	ფლობს	sc=Geor
eng	own	Verb	tr	have rightful possession of	khm	ជាម្ចាស់
eng	own	Verb	tr	have rightful possession of	kor	소유하다
eng	own	Verb	tr	have rightful possession of	lat	habeō
eng	own	Verb	tr	have rightful possession of	lat	possideō
eng	own	Verb	tr	have rightful possession of	mkd	има	impf
eng	own	Verb	tr	have rightful possession of	mkd	поседува	impf
eng	own	Verb	tr	have rightful possession of	nld	bezitten
eng	own	Verb	tr	have rightful possession of	nld	hebben
eng	own	Verb	tr	have rightful possession of	nor	eie
eng	own	Verb	tr	have rightful possession of	pol	mieć	impf
eng	own	Verb	tr	have rightful possession of	pol	posiadać	impf
eng	own	Verb	tr	have rightful possession of	por	possuir
eng	own	Verb	tr	have rightful possession of	que	jap'iy
eng	own	Verb	tr	have rightful possession of	ron	deține
eng	own	Verb	tr	have rightful possession of	rus	владе́ть	impf
eng	own	Verb	tr	have rightful possession of	rus	име́ть	impf
eng	own	Verb	tr	have rightful possession of	rus	облада́ть	impf
eng	own	Verb	tr	have rightful possession of	san	ईष्टे
eng	own	Verb	tr	have rightful possession of	sco	awn
eng	own	Verb	tr	have rightful possession of	slk	mať	impf
eng	own	Verb	tr	have rightful possession of	slk	vlastniť	impf
eng	own	Verb	tr	have rightful possession of	slv	imeti	impf
eng	own	Verb	tr	have rightful possession of	spa	poseer
eng	own	Verb	tr	have rightful possession of	swa	miliki
eng	own	Verb	tr	have rightful possession of	swe	äga
eng	own	Verb	tr	have rightful possession of	ukr	володі́ти	impf
eng	own	Verb	tr	have rightful possession of	ukr	ма́ти	impf
eng	own	Verb	tr	have rightful possession of	vie	sở hữu
eng	own	Verb	tr	have rightful possession of	vol	dalabön
