	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta del Virgen del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta de Nuestra Señora del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		xtm	Viko Nana Rosariu
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	deu	Beschneidung des Herrn	f
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	nld	Besnijdenis van de Heer	f
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	deu	Namen-Jesu-Fest	n
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	nld	Zoete Naam Jezus	m
eng	Feb	Proper noun	tr	abbreviation of February	cat	febr.
eng	Feb	Proper noun	tr	abbreviation of February	fra	févr.
eng	Feb	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb.	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb	Proper noun	tr	abbreviation of February	por	fev	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	rus	февра́ль-водоле́й	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	febrero, cebadero
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	lluvioso febrero, año cebadero
eng	Felix	Proper noun	tr	male given name	oci	Fèliç	m
eng	Felix	Proper noun	tr	male given name	oci	Felitz	m
eng	Felix	Proper noun	tr	male given name	pol	Feliks	m
eng	Felix	Proper noun	tr	male given name	pol	Szczęsny	m
eng	Felix	Proper noun	tr	male given name	por	Félix	m
eng	Felix	Proper noun	tr	male given name	roa-leo	Fliz
eng	Felix	Proper noun	tr	male given name	rus	Фе́ликс	m
eng	Felix	Proper noun	tr	male given name	spa	Félix
eng	Felix	Proper noun	tr	male given name	swe	Felix
eng	Felix	Proper noun	tr	male given name	vie	Fêlix
eng	Feltrinellian	Adjective	tr		ita	feltrinelliano
eng	Fengdu	Proper noun	tr	county	cmn	丰都	tr=Fēngdū	sc=Hani
eng	Fengdu	Proper noun	tr	county	cmn	豐都	sc=Hani
eng	Fengjie	Proper noun	tr	county in western China	cmn	奉節	sc=Hani
eng	Fengjie	Proper noun	tr	county in western China	cmn	奉节	tr=Fèngjié	sc=Hani
eng	Fengle	Proper noun	tr	subdistrict in western China; town in central China	cmn	丰乐	tr=Fēnglè	sc=Hani
eng	Fengle	Proper noun	tr	subdistrict in western China; town in central China	cmn	豐樂	sc=Hani
eng	Fengnan	Proper noun	tr	district in northern China	cmn	丰南	tr=Fēngnán	sc=Hani
eng	Fengnan	Proper noun	tr	district in northern China	cmn	豐南	sc=Hani
eng	Feng	Proper noun	tr	county	cmn	凤	tr=Fèng	sc=Hani
eng	Feng	Proper noun	tr	county	cmn	鳳	sc=Hani
eng	Fengqiu	Proper noun	tr	county	cmn	封丘	tr=Fēngqiū	sc=Hani
eng	Fengqiu	Proper noun	tr	county	cmn	封邱	sc=Hani
eng	Fengquan	Proper noun	tr	district	cmn	凤泉	tr=Fèngquán	sc=Hani
eng	Fengquan	Proper noun	tr	district	cmn	鳳泉	sc=Hani
eng	Fengtai	Proper noun	tr	district of Beijing, China	cmn	丰台	tr=Fēngtái
eng	Fengtai	Proper noun	tr	district of Beijing, China	cmn	豐台
eng	Fengtai	Proper noun	tr	district of Beijing, China	cmn	豐臺
eng	Fengtai	Proper noun	tr	district of Beijing, China	yue	丰台	tr=fung1 toi4
eng	Fengtai	Proper noun	tr	district of Beijing, China	yue	豐台
eng	Fengtai	Proper noun	tr	district of Beijing, China	yue	豐臺
eng	Fengtian	Proper noun	tr	former name of Liaoning	cmn	奉天	tr=Fèngtiān	sc=Hani
eng	Fengtian	Proper noun	tr	former name of Liaoning	yue	奉天	tr=fung6 tin1
eng	Fengtian	Proper noun	tr	former name of Shenyang	cmn	奉天	tr=Fèngtiān	sc=Hani
eng	Fengtian	Proper noun	tr	former name of Shenyang	yue	奉天	tr=fung6 tin1
eng	Fengxiang	Proper noun	tr	county	cmn	凤翔	sc=Hani
eng	Fengxiang	Proper noun	tr	county	cmn	鳳翔	sc=Hani
eng	Fenian Cycle	Proper noun	tr	a body of prose and verse focusing on the exploits of the mythological hero Fionn mac Cumhail and his warriors	gle	Fiannaíocht	f	alt=An Fhiannaíocht
eng	Feni District	Proper noun	tr	Feni District	ben	ফেনী জেলা	sc=Beng
eng	Fennicize	Verb	tr	to make Finnish	ces	pofinštit	pf
eng	Fennicize	Verb	tr	to make Finnish	dan	forfinske
eng	Fennicize	Verb	tr	to make Finnish	epo	finnigi
eng	Fennicize	Verb	tr	to make Finnish	fin	suomalaistaa
eng	Fennicize	Verb	tr	to make Finnish	fra	finniciser
eng	Fennicize	Verb	tr	to make Finnish	ita	finlandizzare
eng	Fennicize	Verb	tr	to make Finnish	por	finlandizar
eng	Fennicize	Verb	tr	to make Finnish	rus	финнизи́ровать	impf	pf
eng	Fennicize	Verb	tr	to make Finnish	spa	finlandizar
eng	Fenni	Noun	tr	an ancient people	fin	fenni
eng	Fennistic	Adjective	tr	of or pertaining to the study of Finnic languages	fin	fennistinen
eng	Fennoman	Noun	tr	member or supporter	fin	fennomaani
eng	Fennoman	Noun	tr	member or supporter	swe	fennoman	c
eng	Fennoscandian	Adjective	tr		deu	fennoskandisch
eng	Fennoscandia	Proper noun	tr	Fennoscandian Shield	deu	Fennoskandischer Schild	m
eng	Fennoscandia	Proper noun	tr	Fennoscandian Shield	est	Fennoskandi kilp
eng	Fennoscandia	Proper noun	tr	Fennoscandian Shield	fin	Baltian kilpi
eng	Fennoscandia	Proper noun	tr	Fennoscandian Shield	spa	Escudo báltico	m
eng	Fennoscandia	Proper noun	tr	Fennoscandian Shield	swe	Fennoskandiska skölden	c
eng	Fennoscandia	Proper noun	tr	geographic area	dan	Fennoskandinavien	c
eng	Fennoscandia	Proper noun	tr	geographic area	deu	Fennoskandien
eng	Fennoscandia	Proper noun	tr	geographic area	deu	Fennoskandinavien
eng	Fennoscandia	Proper noun	tr	geographic area	epo	Fenoskandio
eng	Fennoscandia	Proper noun	tr	geographic area	est	Fennoskandia
eng	Fennoscandia	Proper noun	tr	geographic area	fin	Fennoskandia
eng	Fennoscandia	Proper noun	tr	geographic area	fra	Fennoscandie	f
eng	Fennoscandia	Proper noun	tr	geographic area	isl	Fennóskandía
eng	Fennoscandia	Proper noun	tr	geographic area	nno	Fennoskandia
eng	Fennoscandia	Proper noun	tr	geographic area	nob	Fennoskandia
eng	Fennoscandia	Proper noun	tr	geographic area	por	Fenoscândia	f
eng	Fennoscandia	Proper noun	tr	geographic area	spa	Fenoscandia	f
eng	Fennoscandia	Proper noun	tr	geographic area	swe	Fennoskandien	c
eng	Fenrir	Proper noun	tr	mythical wolf	bul	Фенрир	m
eng	Fenrir	Proper noun	tr	mythical wolf	cmn	芬里厄	tr=Fēnlǐè
eng	Fenrir	Proper noun	tr	mythical wolf	dan	Fenris
eng	Fenrir	Proper noun	tr	mythical wolf	dan	Fenrisulven
eng	Fenrir	Proper noun	tr	mythical wolf	dan	ulven Fenris
eng	Fenrir	Proper noun	tr	mythical wolf	deu	Fenrir	m
eng	Fenrir	Proper noun	tr	mythical wolf	deu	Fenriswolf	m
eng	Fenrir	Proper noun	tr	mythical wolf	ell	Φένριρ	m
eng	Fenrir	Proper noun	tr	mythical wolf	epo	Fenriro
eng	Fenrir	Proper noun	tr	mythical wolf	isl	Fenrisúlfur	m
eng	Fenrir	Proper noun	tr	mythical wolf	jpn	フェンリル	tr=Fenriru
eng	Fenrir	Proper noun	tr	mythical wolf	kat	ფენრირი
eng	Fenrir	Proper noun	tr	mythical wolf	kor	펜리르
eng	Fenrir	Proper noun	tr	mythical wolf	lav	Fenrirs	m
eng	Fenrir	Proper noun	tr	mythical wolf	lit	Fenris	m
eng	Fenrir	Proper noun	tr	mythical wolf	nno	Fenrisulven	m
eng	Fenrir	Proper noun	tr	mythical wolf	nob	Fenrisulven	m
eng	Fenrir	Proper noun	tr	mythical wolf	non	Hróðvitnir
eng	Fenrir	Proper noun	tr	mythical wolf	non	Vánagandr
eng	Fenrir	Proper noun	tr	mythical wolf	rus	Фе́нрир	m
eng	Fenrir	Proper noun	tr	mythical wolf	tha	เฟนรีร์	tr=fayn-ree
eng	Fenrir	Proper noun	tr	mythical wolf	ukr	Фенрір	m
eng	Fen River	Proper noun	tr	river in the centre of Shanxi province	cmn	汾河	tr=Fén Hé	sc=Hani
eng	Fen River	Proper noun	tr	river in the centre of Shanxi province	fin	Fen-joki
eng	Fenton	Proper noun	tr	A name	mri	Penetana
eng	Fenxi	Proper noun	tr	county	cmn	汾西	tr=	sc=Hani
eng	Fenyang	Proper noun	tr	county-level city	cmn	汾阳	tr=Fényáng	sc=Hani
eng	Fenyang	Proper noun	tr	county-level city	cmn	汾陽	sc=Hani
eng	Feodosia	Proper noun	tr	port and resort city	cmn	多西亚	tr=Fèi'àodūxīyǎ	sc=Hani
eng	Feodosia	Proper noun	tr	port and resort city	cmn	費奧多西亞	sc=Hani
eng	Feodosia	Proper noun	tr	port and resort city	crh	Kefe
eng	Feodosia	Proper noun	tr	port and resort city	deu	Feodossija	n
eng	Feodosia	Proper noun	tr	port and resort city	deu	Theodosia	n
eng	Feodosia	Proper noun	tr	port and resort city	ell	Θεοδοσία	f	sc=Grek
eng	Feodosia	Proper noun	tr	port and resort city	fra	Féodosie	f
eng	Feodosia	Proper noun	tr	port and resort city	fra	Feodossia	f
eng	Feodosia	Proper noun	tr	port and resort city	fra	Théodosie	f
eng	Feodosia	Proper noun	tr	port and resort city	grc	Θεοδοσία	sc=polytonic
eng	Feodosia	Proper noun	tr	port and resort city	hye	Թեոդոսիա	sc=Armn
eng	Feodosia	Proper noun	tr	port and resort city	ita	Feodosia	f
eng	Feodosia	Proper noun	tr	port and resort city	ita	Teodosia
eng	Feodosia	Proper noun	tr	port and resort city	jct	Кефе
eng	Feodosia	Proper noun	tr	port and resort city	jpn	フェオドシヤ	tr=Feodoshiya	sc=Jpan
eng	Feodosia	Proper noun	tr	port and resort city	lat	Theodosia
eng	Feodosia	Proper noun	tr	port and resort city	por	Caffa	f
eng	Feodosia	Proper noun	tr	port and resort city	por	Feodosia	f
eng	Feodosia	Proper noun	tr	port and resort city	por	Feodosiya	f
eng	Feodosia	Proper noun	tr	port and resort city	por	Kaffa	f
eng	Feodosia	Proper noun	tr	port and resort city	rus	Феодо́сия	f
eng	Feodosia	Proper noun	tr	port and resort city	tur	Feodosiya
eng	Feodosia	Proper noun	tr	port and resort city	tur	Feodosya
eng	Feodosia	Proper noun	tr	port and resort city	ukr	Феодо́сія	f	sc=Cyrl
eng	Ferdinand	Proper noun	tr	male given name	ben	ফার্ডিনান্ড
eng	Ferdinand	Proper noun	tr	male given name	cat	Ferran
eng	Ferdinand	Proper noun	tr	male given name	ces	Ferdinand
eng	Ferdinand	Proper noun	tr	male given name	dan	Ferdinand
eng	Ferdinand	Proper noun	tr	male given name	deu	Ferdinand
eng	Ferdinand	Proper noun	tr	male given name	ell	Φερδινάνδος
eng	Ferdinand	Proper noun	tr	male given name	ext	Fernandu
eng	Ferdinand	Proper noun	tr	male given name	fas	فردیناند	sc=fa-Arab
eng	Ferdinand	Proper noun	tr	male given name	fin	Veeti
eng	Ferdinand	Proper noun	tr	male given name	fra	Fernand
eng	Ferdinand	Proper noun	tr	male given name	glg	Fernando
eng	Ferdinand	Proper noun	tr	male given name	glg	Fernán	m
eng	Ferdinand	Proper noun	tr	male given name	hun	Ferdinánd
eng	Ferdinand	Proper noun	tr	male given name	hun	Nándor
eng	Ferdinand	Proper noun	tr	male given name	kat	ფერდინანდი
eng	Ferdinand	Proper noun	tr	male given name	lat	Ferdinandus
eng	Ferdinand	Proper noun	tr	male given name	nor	Ferdinand
eng	Ferdinand	Proper noun	tr	male given name	pol	Ferdynand
eng	Ferdinand	Proper noun	tr	male given name	por	Fernando
eng	Ferdinand	Proper noun	tr	male given name	por	Fernão	m
eng	Ferdinand	Proper noun	tr	male given name	rus	Фердина́нд	m
eng	Ferdinand	Proper noun	tr	male given name	scn	Firdinannu	m
eng	Ferdinand	Proper noun	tr	male given name	spa	Fernán
eng	Ferdinand	Proper noun	tr	male given name	spa	Fernando
eng	Ferdinand	Proper noun	tr	male given name	spa	Hernán
eng	Ferdinand	Proper noun	tr	male given name	spa	Hernando
eng	Ferdinand	Proper noun	tr	male given name	swe	Ferdinand
eng	Ferdinand	Proper noun	tr	male given name	zho	斐迪南	tr=fěidínán
eng	Ferdinand	Proper noun	tr	male given name	zho	费迪南	tr=fèidínán
eng	Ferdinand	Proper noun	tr	male given name	zho	费迪南德	tr=fèidínándé
eng	Ferdinand	Proper noun	tr	moon of Uranus	jpn	ファーディナンド	tr=Fādinando	sc=Jpan
eng	Ferdowsi	Proper noun	tr	Persian poet	fas	فردوسی	tr=Ferdowsi
eng	Ferdowsi	Proper noun	tr	Persian poet	hin	फिरदौसी	m
eng	Ferdowsi	Proper noun	tr	Persian poet	hye	Ֆիրդուսի
eng	Ferdowsi	Proper noun	tr	Persian poet	rus	Фирдоуси́	m
eng	Ferghana	Proper noun	tr	city in Uzbekistan	aze	Fərqanə
eng	Ferghana	Proper noun	tr	city in Uzbekistan	ben	ফারগানা
eng	Ferghana	Proper noun	tr	city in Uzbekistan	cmn	費爾干納
eng	Ferghana	Proper noun	tr	city in Uzbekistan	cmn	费尔干纳	tr=Fèi'ěrgānnà
eng	Ferghana	Proper noun	tr	city in Uzbekistan	fas	فرغانه	tr=farğâne
eng	Ferghana	Proper noun	tr	city in Uzbekistan	jpn	フェルガナ	tr=Ferugana
eng	Ferghana	Proper noun	tr	city in Uzbekistan	kaz	Ферғана
eng	Ferghana	Proper noun	tr	city in Uzbekistan	kor	페르가나
eng	Ferghana	Proper noun	tr	city in Uzbekistan	mal	ഫെർഗാന
eng	Ferghana	Proper noun	tr	city in Uzbekistan	rus	Фергана́	sc=Cyrl
eng	Ferghana	Proper noun	tr	city in Uzbekistan	tam	பெர்கானா
eng	Ferghana	Proper noun	tr	city in Uzbekistan	tgk	Фарғона	sc=Cyrl
eng	Ferghana	Proper noun	tr	city in Uzbekistan	tur	Fergana
eng	Ferghana	Proper noun	tr	city in Uzbekistan	uig	پەرغانە
eng	Ferghana	Proper noun	tr	city in Uzbekistan	uig	فەرغانە
eng	Ferghana	Proper noun	tr	city in Uzbekistan	uzb	Fargʻona
eng	Ferghana	Proper noun	tr	city in Uzbekistan	uzb	Фарғона
eng	Ferguson	Proper noun	tr	place name	rus	Фе́ргюсо́н	m
eng	Ferguson	Proper noun	tr	surname	epo	Fergjuson
eng	Ferguson	Proper noun	tr	surname	fra	Ferguson
eng	Ferguson	Proper noun	tr	surname	rus	Фе́ргюсо́н	m	f
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	ara	فريزاي
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	ell	Φεριζάι
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	hbs	Uroševac
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	hbs	Урошевац
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	kor	페리자이
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	lat	Ferizaj	n
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	mkd	Урошевац
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	sqi	Ferizaj
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	sqi	Ferizaji
eng	Ferizaj	Proper noun	tr	sixth largest city in Kosovo	tur	Ferizovik
eng	Fermanagh	Proper noun	tr	county of Northern Ireland	gle	Contae Fhear Manach	m
eng	Fermanagh	Proper noun	tr	county of Northern Ireland	gle	Fear Manach	m
eng	Fermat's Last Theorem	Proper noun	tr	theorem that a<sup>n</sup> + b<sup>n</sup> equal to c<sup>n</sup> has no positive integer solutions for a, b, c, n with n > 2	deu	Fermats Letzter Satz	m
eng	Fermat's Last Theorem	Proper noun	tr	theorem that a<sup>n</sup> + b<sup>n</sup> equal to c<sup>n</sup> has no positive integer solutions for a, b, c, n with n > 2	deu	Großer fermatscher Satz	m
eng	Fermat's Last Theorem	Proper noun	tr	theorem that a<sup>n</sup> + b<sup>n</sup> equal to c<sup>n</sup> has no positive integer solutions for a, b, c, n with n > 2	deu	Satz von Fermat-Wiles-Taylor	m
eng	Fermat's Last Theorem	Proper noun	tr	theorem that a<sup>n</sup> + b<sup>n</sup> equal to c<sup>n</sup> has no positive integer solutions for a, b, c, n with n > 2	ita	ultimo teorema di Fermat	m
eng	Fermat's little theorem	Proper noun	tr	theorem that a<sup>p</sup> − a is divisible by p	ita	piccolo teorema di Fermat	m
eng	Ferrara	Proper noun	tr	city, archbishopric and capital	egl	Frêra
eng	Ferrara	Proper noun	tr	city, archbishopric and capital	fra	Ferrare
eng	Ferrara	Proper noun	tr	city, archbishopric and capital	ita	Ferrara	f
eng	Ferrara	Proper noun	tr	city, archbishopric and capital	mar	फेर्रारा
eng	Ferrara	Proper noun	tr	province	egl	Frêra
eng	Ferrara	Proper noun	tr	province	fra	Ferrare
eng	Ferrara	Proper noun	tr	province	ita	Ferrara
eng	Ferrara	Proper noun	tr	province	mar	फेर्रारा
eng	Ferrari	Noun	tr	Italian car	ara	فِيرَارِي	m	tr=firārī
eng	Ferrari	Noun	tr	Italian car	cmn	法拉利	tr=Fǎlālì	sc=Hani
eng	Ferrari	Noun	tr	Italian car	cmn	法拉利汽車	sc=Hani
eng	Ferrari	Noun	tr	Italian car	cmn	法拉利汽车	tr=Fǎlālì qìchē	sc=Hani
eng	Ferrari	Noun	tr	Italian car	ell	Φερράρι
eng	Ferrari	Noun	tr	Italian car	fas	فراری	tr=ferâri	sc=fa-Arab
eng	Ferrari	Noun	tr	Italian car	hin	फ़ेरारी	sc=Deva
eng	Ferrari	Noun	tr	Italian car	ita	Ferrari	f
eng	Ferrari	Noun	tr	Italian car	jpn	フェラーリ	tr=Ferāri	sc=Jpan
eng	Ferrari	Noun	tr	Italian car	kor	^페라리	sc=Kore
eng	Ferrari	Noun	tr	Italian car	nld	Ferrari
eng	Ferrari	Noun	tr	Italian car	rus	Ферра́ри	f
eng	Ferrier	Proper noun	tr	Commune in Haiti	hat	Ferye
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	ara	دولاب هواء
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	bel	чортава кола	n	sc=Cyrl
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	bul	виенското колело	sc=Cyrl
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	cat	roda de fira	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	ces	ruské kolo	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	cmn	摩天輪	sc=Hani
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	cmn	摩天轮	tr=mótiānlún	sc=Hani
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	dan	pariserhjul	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	deu	Riesenrad	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	epo	spektoradego
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	fin	maailmanpyörä
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	fra	grande roue	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	gle	roth mór	m
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	guj	ચકડોળ
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	heb	גלגל ענק	m	tr=galgal ‘anak	sc=Hebr
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	hun	óriáskerék
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	isl	parísarhjól	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	ita	ruota panoramica	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	jpn	観覧車	tr=かんらんしゃ, kanransha	sc=Jpan
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	kat	ეშმაკის ბორბალი
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	kor	관람차
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	mon	алсыг харагч	sc=Cyrl
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	nld	reuzenrad	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	nor	pariserhjul	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	pol	diabelski młyn	m
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	por	roda-gigante	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	rus	колесо́ обозре́ния	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	rus	чёртово колесо́	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	spa	noria	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	spa	rueda de Chicago	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	spa	rueda de la fortuna	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	spa	rueda moscovita	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	spa	vuelta al mundo	f
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	swe	pariserhjul	n
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	tgl	chubibo
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	tha	ชิงช้าสวรรค์
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	tur	dönme dolap
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	vie	vòng đu quay
eng	Ferris wheel	Noun	tr	ride at a fair consisting of large wheel	yid	פֿעריס־ראָד	f
eng	Ferrucci	Proper noun	tr		ita	Ferrucci
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	ara	الهلال الخصيب	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	aze	Bərəkətli Hilal
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	cat	Creixent Fèrtil	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	cmn	新月沃土	tr=xīnyuè wòtǔ	sc=Hani
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	cym	Cilgant Toreithiog	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	deu	Fruchtbarer Halbmond	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	est	Viljakas poolkuu
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	fas	هلال حاصلخیز	tr=helâl-e-hâselxiz	sc=fa-Arab
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	fin	hedelmällinen puolikuu
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	fra	Croissant fertile
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	gle	Corrán Méith	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	heb	הסהר הפורה
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	hye	Բարեբեր կիսալուսին	sc=Armn
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	jpn	肥沃な三日月地帯	tr=hiyoku na mikazuki chitai	sc=Jpan
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	kat	ნოყიერი ნახევარმთვარე
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	kor	비옥한 초승달 지대	sc=Kore
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	pol	Żyzny Półksiężyc	m
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	por	Crescente Fértil	f
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	rus	плодородный полуме́сяц
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	spa	Creciente fértil
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	swe	bördiga halvmånen	c
eng	Fertile Crescent	Proper noun	tr	crescent-shaped arc of fertile land	tur	Bereketli Hilal
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	ara	مخطط فاينمان
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	bel	дыяграмы Фейнмана
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	ben	ফাইনম্যান চিত্র
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	bul	диаграма на Файнман
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	cat	diagrama de Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	ces	Feynmanovy diagramy	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	cmn	費曼圖	tr=Fèimàntú
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	deu	Feynman-Diagramm	n
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	ell	διάγραμμα Φάινμαν	n
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	est	Feynmani diagramm
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	fas	نمودار فاینمن
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	fin	Feynmanin graafi
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	fra	diagramme de Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	glg	diagrama de Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	hbs	Feynmanov dȉjagram	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	heb	דיאגרמת פיינמן
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	hun	Feynman-gráf
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	ita	diagramma di Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	jpn	ファインマン・ダイアグラム
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	kor	파인먼 도형
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	nld	Feynmandiagram	n
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	pol	diagram Feynmana	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	por	diagrama de Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	rus	диаграммы Фейнмана	f
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	slk	Feynmanov diagram
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	slv	Feynmanov diagram
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	spa	diagrama de Feynman	m
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	sqi	diagramat e Fajmanit
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	swe	Feynmandiagram	n
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	tat	Фейнман диаграммалары
eng	Feynman diagram	Noun	tr	pictorial representation of the interactions of subatomic particles	tur	Feynman diyagramı
